Jurisdiction,"Angela Alsobrooks
Democratic","Larry Hogan
Republican","Mike Scott
Libertarian"
Allegany,"7,396","21,811","2,100"
Anne Arundel,"137,645","164,698","7,273"
Baltimore City,"173,504","39,810","3,374"
Baltimore County,"210,177","186,759","9,261"
Calvert,"18,359","33,580","1,691"
Caroline,"3,790","11,536",750
Carroll,"26,180","72,049","3,359"
Cecil,"13,392","35,557","2,803"
Charles,"57,893","31,941","1,795"
Dorchester,"5,837","10,113",634
Frederick,"66,280","83,767","4,293"
Garrett,"2,423","11,966","1,049"
Harford,"48,108","95,455","5,160"
Howard,"103,163","75,247","3,003"
Kent,"4,340","6,375",314
Montgomery,"327,016","162,526","6,129"
Prince George's,"312,595","59,710","4,090"
Queen Anne's,"8,204","22,842","1,056"
Saint Mary's,"18,426","37,471","2,406"
Somerset,"3,077","5,909",546
Talbot,"8,778","13,393",569
Washington,"21,488","46,870","3,456"
Wicomico,"17,163","27,244","1,940"
Worcester,"8,864","22,358","1,245"
Totals,"1,604,098 (54.23%)","1,278,987 (43.24%)","68,296 (2.31%)"
